fig|381124.6.peg.10192	GRMZM2G068506	GRMZM2G068506_T02
fig|381124.6.peg.10193	GRMZM2G091245	GRMZM2G091245_T01
fig|381124.6.peg.10194	GRMZM2G375410	GRMZM2G375410_T01
fig|381124.6.peg.10195	GRMZM2G072105	GRMZM2G072105_T01
fig|381124.6.peg.10196	GRMZM2G048826	GRMZM2G048826_T01
fig|381124.6.peg.10197	GRMZM2G006468	GRMZM2G006468_T05
fig|381124.6.peg.10198	AC186145.3_FG002	AC186145.3_FGT002
fig|381124.6.peg.10199	GRMZM2G172365	GRMZM2G172365_T01
fig|381124.6.peg.102	GRMZM2G019291	GRMZM2G019291_T04
fig|381124.6.peg.1020	GRMZM5G846702	GRMZM5G846702_T01
fig|381124.6.peg.10200	AC208358.3_FG005	AC208358.3_FGT005
fig|381124.6.peg.10201	AC204015.3_FG006	AC204015.3_FGT006
fig|381124.6.peg.10202	GRMZM2G085573	GRMZM2G085573_T01
fig|381124.6.peg.10203	GRMZM2G384588	GRMZM2G384588_T01
fig|381124.6.peg.10204	GRMZM2G177654	GRMZM2G177654_T01
fig|381124.6.peg.10205	GRMZM2G121928	GRMZM2G121928_T01
fig|381124.6.peg.10206	GRMZM2G121942	GRMZM2G121942_T02
fig|381124.6.peg.10207	AC184771.4_FG003	AC184771.4_FGT003
fig|381124.6.peg.10208	GRMZM2G702455	GRMZM2G702455_T01
fig|381124.6.peg.10209	GRMZM2G172174	GRMZM2G172174_T01
fig|381124.6.peg.1021	GRMZM2G366313	GRMZM2G366313_T01
fig|381124.6.peg.10210	GRMZM2G030768	GRMZM2G030768_T01
fig|381124.6.peg.10211	GRMZM2G100313	GRMZM2G100313_T01
fig|381124.6.peg.10212	AC205664.3_FG001	AC205664.3_FGT001
fig|381124.6.peg.10213	GRMZM5G825987	GRMZM5G825987_T01
fig|381124.6.peg.10214	GRMZM5G893851	GRMZM5G893851_T01
fig|381124.6.peg.10215	AC205155.3_FG001	AC205155.3_FGT001
fig|381124.6.peg.10216	GRMZM2G007736	GRMZM2G007736_T02
fig|381124.6.peg.10217	GRMZM5G881961	GRMZM5G881961_T01
fig|381124.6.peg.10218	GRMZM2G459556	GRMZM2G459556_T01
fig|381124.6.peg.10219	GRMZM2G011806	GRMZM2G011806_T01
fig|381124.6.peg.1022	GRMZM2G065915	GRMZM2G065915_T01
fig|381124.6.peg.10220	GRMZM2G044818	GRMZM2G044818_T01
fig|381124.6.peg.10221	AC191692.3_FG001	AC191692.3_FGT001
fig|381124.6.peg.10222	GRMZM2G431114	GRMZM2G431114_T01
fig|381124.6.peg.10223	GRMZM5G806975	GRMZM5G806975_T01
fig|381124.6.peg.10224	GRMZM2G175474	GRMZM2G175474_T01
fig|381124.6.peg.10225	GRMZM2G175499	GRMZM2G175499_T01
fig|381124.6.peg.10226	GRMZM2G551108	GRMZM2G551108_T01
fig|381124.6.peg.10227	GRMZM2G397148	GRMZM2G397148_T01
fig|381124.6.peg.10228	GRMZM2G702462	GRMZM2G702462_T01
fig|381124.6.peg.10229	GRMZM2G153803	GRMZM2G153803_T01
fig|381124.6.peg.1023	GRMZM5G801993	GRMZM5G801993_T01
fig|381124.6.peg.10230	GRMZM2G153722	GRMZM2G153722_T01
fig|381124.6.peg.10231	GRMZM2G427409	GRMZM2G427409_T01
fig|381124.6.peg.10232	GRMZM2G053511	GRMZM2G053511_T01
fig|381124.6.peg.10233	GRMZM2G354373	GRMZM2G354373_T01
fig|381124.6.peg.10234	GRMZM2G076345	GRMZM2G076345_T01
fig|381124.6.peg.10235	GRMZM2G374806	GRMZM2G374806_T01
fig|381124.6.peg.10236	GRMZM2G076389	GRMZM2G076389_T01
fig|381124.6.peg.10237	GRMZM2G374817	GRMZM2G374817_T02
fig|381124.6.peg.10238	GRMZM5G884985	GRMZM5G884985_T01
fig|381124.6.peg.10239	GRMZM5G813661	GRMZM5G813661_T01
fig|381124.6.peg.1024	GRMZM2G066111	GRMZM2G066111_T01
fig|381124.6.peg.10240	GRMZM2G119071	GRMZM2G119071_T01
fig|381124.6.peg.10241	GRMZM2G395247	GRMZM2G395247_T01
fig|381124.6.peg.10242	GRMZM2G094500	GRMZM2G094500_T04
