fig|4558.4.peg.10257	Sb06g001090	Sb06g001090.1
fig|4558.4.peg.10258	Sb06g001100	Sb06g001100.1
fig|4558.4.peg.10259	Sb06g001110	Sb06g001110.1
fig|4558.4.peg.1026	Sb10g008830	Sb10g008830.1
fig|4558.4.peg.10260	Sb06g001120	Sb06g001120.1
fig|4558.4.peg.10261	Sb06g001130	Sb06g001130.1
fig|4558.4.peg.10262	Sb06g001140	Sb06g001140.1
fig|4558.4.peg.10263	Sb06g001145	Sb06g001145.1
fig|4558.4.peg.10264	Sb06g001150	Sb06g001150.1
fig|4558.4.peg.10265	Sb06g001160	Sb06g001160.1
fig|4558.4.peg.10266	Sb06g001170	Sb06g001170.1
fig|4558.4.peg.10267	Sb06g001175	Sb06g001175.1
fig|4558.4.peg.10268	Sb06g001180	Sb06g001180.1
fig|4558.4.peg.10269	Sb06g001185	Sb06g001185.1
fig|4558.4.peg.1027	Sb10g008840	Sb10g008840.1
fig|4558.4.peg.10270	Sb06g001190	Sb06g001190.1
fig|4558.4.peg.10271	Sb06g001195	Sb06g001195.1
fig|4558.4.peg.10272	Sb06g001200	Sb06g001200.1
fig|4558.4.peg.10273	Sb06g001210	Sb06g001210.1
fig|4558.4.peg.10274	Sb06g001215	Sb06g001215.1
fig|4558.4.peg.10275	Sb06g001220	Sb06g001220.1
fig|4558.4.peg.10276	Sb06g001230	Sb06g001230.1
fig|4558.4.peg.10277	Sb06g001240	Sb06g001240.1
fig|4558.4.peg.10278	Sb06g001250	Sb06g001250.1
fig|4558.4.peg.10279	Sb06g001260	Sb06g001260.1
fig|4558.4.peg.1028	Sb10g008850	Sb10g008850.1
fig|4558.4.peg.10280	Sb06g001270	Sb06g001270.1
fig|4558.4.peg.10281	Sb06g001280	Sb06g001280.1
fig|4558.4.peg.10282	Sb06g001285	Sb06g001285.1
fig|4558.4.peg.10283	Sb06g001290	Sb06g001290.1
fig|4558.4.peg.10284	Sb06g001300	Sb06g001300.1
fig|4558.4.peg.10285	Sb06g001310	Sb06g001310.1
fig|4558.4.peg.10286	Sb06g001315	Sb06g001315.1
fig|4558.4.peg.10287	Sb06g001320	Sb06g001320.1
fig|4558.4.peg.10288	Sb06g001330	Sb06g001330.1
fig|4558.4.peg.10289	Sb06g001340	Sb06g001340.1
fig|4558.4.peg.1029	Sb10g008860	Sb10g008860.1
fig|4558.4.peg.10290	Sb06g001350	Sb06g001350.1
fig|4558.4.peg.10291	Sb06g001360	Sb06g001360.1
fig|4558.4.peg.10292	Sb06g001370	Sb06g001370.1
fig|4558.4.peg.10293	Sb06g001380	Sb06g001380.1
fig|4558.4.peg.10294	Sb06g001390	Sb06g001390.1
fig|4558.4.peg.10295	Sb06g001400	Sb06g001400.1
fig|4558.4.peg.10296	Sb06g001410	Sb06g001410.1
fig|4558.4.peg.10297	Sb06g001420	Sb06g001420.1
fig|4558.4.peg.10298	Sb06g001430	Sb06g001430.1
fig|4558.4.peg.10299	Sb06g001440	Sb06g001440.1
fig|4558.4.peg.103	Sb10g001100	Sb10g001100.1
fig|4558.4.peg.1030	Sb10g008870	Sb10g008870.1
fig|4558.4.peg.10300	Sb06g001450	Sb06g001450.1
fig|4558.4.peg.10301	Sb06g001453	Sb06g001453.1
fig|4558.4.peg.10302	Sb06g001456	Sb06g001456.1
fig|4558.4.peg.10303	Sb06g001460	Sb06g001460.1
fig|4558.4.peg.10304	Sb06g001470	Sb06g001470.1
fig|4558.4.peg.10305	Sb06g001473	Sb06g001473.1
fig|4558.4.peg.10306	Sb06g001476	Sb06g001476.1
fig|4558.4.peg.10307	Sb06g001480	Sb06g001480.1
fig|4558.4.peg.10308	Sb06g001485	Sb06g001485.1
fig|4558.4.peg.10309	Sb06g001490	Sb06g001490.1
fig|4558.4.peg.1031	Sb10g008880	Sb10g008880.1
fig|4558.4.peg.10310	Sb06g001500	Sb06g001500.1
fig|4558.4.peg.10311	Sb06g001503	Sb06g001503.1
fig|4558.4.peg.10312	Sb06g001506	Sb06g001506.1
fig|4558.4.peg.10313	Sb06g001510	Sb06g001510.1
fig|4558.4.peg.10314	Sb06g001512	Sb06g001512.1
fig|4558.4.peg.10315	Sb06g001515	Sb06g001515.1
fig|4558.4.peg.10316	Sb06g001517	Sb06g001517.1
fig|4558.4.peg.10317	Sb06g001520	Sb06g001520.1
fig|4558.4.peg.10318	Sb06g001530	Sb06g001530.1
fig|4558.4.peg.10319	Sb06g001540	Sb06g001540.1
fig|4558.4.peg.1032	Sb10g008890	Sb10g008890.1
fig|4558.4.peg.10320	Sb06g001550	Sb06g001550.1
fig|4558.4.peg.10321	Sb06g001555	Sb06g001555.1
fig|4558.4.peg.10322	Sb06g001560	Sb06g001560.1
fig|4558.4.peg.10323	Sb06g001570	Sb06g001570.1
fig|4558.4.peg.10324	Sb06g001580	Sb06g001580.1
fig|4558.4.peg.10325	Sb06g001590	Sb06g001590.1
fig|4558.4.peg.10326	Sb06g001600	Sb06g001600.1
fig|4558.4.peg.10327	Sb06g001610	Sb06g001610.1
fig|4558.4.peg.10328	Sb06g001620	Sb06g001620.1
fig|4558.4.peg.10329	Sb06g001625	Sb06g001625.1
fig|4558.4.peg.1033	Sb10g008893	Sb10g008893.1
fig|4558.4.peg.10330	Sb06g001630	Sb06g001630.1
fig|4558.4.peg.10331	Sb06g001640	Sb06g001640.1
fig|4558.4.peg.10332	Sb06g001645	Sb06g001645.1
fig|4558.4.peg.10333	Sb06g001650	Sb06g001650.1
fig|4558.4.peg.10334	Sb06g001653	Sb06g001653.1
fig|4558.4.peg.10335	Sb06g001656	Sb06g001656.1
fig|4558.4.peg.10336	Sb06g001660	Sb06g001660.1
fig|4558.4.peg.10337	Sb06g001670	Sb06g001670.1
fig|4558.4.peg.10338	Sb06g001680	Sb06g001680.1
fig|4558.4.peg.10339	Sb06g001685	Sb06g001685.1
fig|4558.4.peg.1034	Sb10g008896	Sb10g008896.1
fig|4558.4.peg.10340	Sb06g001690	Sb06g001690.1
fig|4558.4.peg.10341	Sb06g001700	Sb06g001700.1
fig|4558.4.peg.10342	Sb06g001710	Sb06g001710.1
fig|4558.4.peg.10343	Sb06g001720	Sb06g001720.1
fig|4558.4.peg.10344	Sb06g001730	Sb06g001730.1
fig|4558.4.peg.10345	Sb06g001735	Sb06g001735.1
fig|4558.4.peg.10346	Sb06g001740	Sb06g001740.1
fig|4558.4.peg.10347	Sb06g001750	Sb06g001750.1
fig|4558.4.peg.10348	Sb06g001760	Sb06g001760.1
fig|4558.4.peg.10349	Sb06g001770	Sb06g001770.1
fig|4558.4.peg.1035	Sb10g008900	Sb10g008900.1
fig|4558.4.peg.10350	Sb06g001773	Sb06g001773.1
fig|4558.4.peg.10351	Sb06g001776	Sb06g001776.1
fig|4558.4.peg.10352	Sb06g001780	Sb06g001780.1
fig|4558.4.peg.10353	Sb06g001790	Sb06g001790.1
fig|4558.4.peg.10354	Sb06g001800	Sb06g001800.1
fig|4558.4.peg.10355	Sb06g001810	Sb06g001810.1
fig|4558.4.peg.10356	Sb06g001820	Sb06g001820.1
fig|4558.4.peg.10357	Sb06g001830	Sb06g001830.1
fig|4558.4.peg.10358	Sb06g001835	Sb06g001835.1
fig|4558.4.peg.10359	Sb06g001840	Sb06g001840.1
fig|4558.4.peg.1036	Sb10g008910	Sb10g008910.1
fig|4558.4.peg.10360	Sb06g001850	Sb06g001850.1
fig|4558.4.peg.10361	Sb06g001853	Sb06g001853.1
fig|4558.4.peg.10362	Sb06g001856	Sb06g001856.1
fig|4558.4.peg.10363	Sb06g001860	Sb06g001860.1
fig|4558.4.peg.10364	Sb06g001870	Sb06g001870.1
fig|4558.4.peg.10365	Sb06g001875	Sb06g001875.1
fig|4558.4.peg.10366	Sb06g001880	Sb06g001880.1
