fig|3847.5.peg.10285	GLYMA04G42360	GLYMA04G42360.1
fig|3847.5.peg.10286	GLYMA04G42370	GLYMA04G42370.1
fig|3847.5.peg.10287	GLYMA04G42380	GLYMA04G42380.1
fig|3847.5.peg.10288	GLYMA04G42390	GLYMA04G42390.2
fig|3847.5.peg.10289	GLYMA04G42405	GLYMA04G42405.2
fig|3847.5.peg.1029	GLYMA01G26840	GLYMA01G26840.2
fig|3847.5.peg.10290	GLYMA04G42420	GLYMA04G42420.1
fig|3847.5.peg.10291	GLYMA04G42430	GLYMA04G42430.1
fig|3847.5.peg.10292	GLYMA04G42441	GLYMA04G42441.1
fig|3847.5.peg.10293	GLYMA04G42450	GLYMA04G42450.1
fig|3847.5.peg.10294	GLYMA04G42460	GLYMA04G42460.1
fig|3847.5.peg.10295	GLYMA04G42470	GLYMA04G42470.1
fig|3847.5.peg.10296	GLYMA04G42480	GLYMA04G42480.1
fig|3847.5.peg.10297	GLYMA04G42501	GLYMA04G42501.1
fig|3847.5.peg.10298	GLYMA04G42520	GLYMA04G42520.1
fig|3847.5.peg.10299	GLYMA04G42540	GLYMA04G42540.1
fig|3847.5.peg.103	GLYMA01G01370	GLYMA01G01370.1
fig|3847.5.peg.1030	GLYMA01G26860	GLYMA01G26860.2
fig|3847.5.peg.10300	GLYMA04G42550	GLYMA04G42550.3
fig|3847.5.peg.10301	GLYMA04G42560	GLYMA04G42560.1
fig|3847.5.peg.10302	GLYMA04G42580	GLYMA04G42580.1
fig|3847.5.peg.10303	GLYMA04G42601	GLYMA04G42601.1
fig|3847.5.peg.10304	GLYMA04G42620	GLYMA04G42620.2
fig|3847.5.peg.10305	GLYMA04G42625	GLYMA04G42625.1
fig|3847.5.peg.10306	GLYMA04G42630	GLYMA04G42630.1
fig|3847.5.peg.10307	GLYMA04G42640	GLYMA04G42640.1
fig|3847.5.peg.10308	GLYMA04G42660	GLYMA04G42660.1
fig|3847.5.peg.10309	GLYMA04G42670	GLYMA04G42670.2
fig|3847.5.peg.1031	GLYMA01G26900	GLYMA01G26900.2
fig|3847.5.peg.10310	GLYMA04G42680	GLYMA04G42680.1
fig|3847.5.peg.10311	GLYMA04G42690	GLYMA04G42690.1
fig|3847.5.peg.10312	GLYMA04G42700	GLYMA04G42700.1
fig|3847.5.peg.10313	GLYMA04G42710	GLYMA04G42710.1
fig|3847.5.peg.10314	GLYMA04G42720	GLYMA04G42720.1
fig|3847.5.peg.10315	GLYMA04G42731	GLYMA04G42731.1
fig|3847.5.peg.10316	GLYMA04G42740	GLYMA04G42740.2
fig|3847.5.peg.10317	GLYMA04G42750	GLYMA04G42750.2
fig|3847.5.peg.10318	GLYMA04G42760	GLYMA04G42760.1
fig|3847.5.peg.10319	GLYMA04G42770	GLYMA04G42770.1
fig|3847.5.peg.1032	GLYMA01G26915	GLYMA01G26915.1
fig|3847.5.peg.10320	GLYMA04G42790	GLYMA04G42790.1
fig|3847.5.peg.10321	GLYMA04G42800	GLYMA04G42800.1
fig|3847.5.peg.10322	GLYMA04G42810	GLYMA04G42810.1
fig|3847.5.peg.10323	GLYMA04G42821	GLYMA04G42821.1
fig|3847.5.peg.10324	GLYMA04G42830	GLYMA04G42830.1
fig|3847.5.peg.10325	GLYMA04G42840	GLYMA04G42840.1
fig|3847.5.peg.10326	GLYMA04G42850	GLYMA04G42850.1
fig|3847.5.peg.10327	GLYMA04G42860	GLYMA04G42860.1
fig|3847.5.peg.10328	GLYMA04G42870	GLYMA04G42870.1
fig|3847.5.peg.10329	GLYMA04G42880	GLYMA04G42880.2
fig|3847.5.peg.1033	GLYMA01G26930	GLYMA01G26930.1
fig|3847.5.peg.10330	GLYMA04G42890	GLYMA04G42890.1
fig|3847.5.peg.10331	GLYMA04G42900	GLYMA04G42900.1
fig|3847.5.peg.10332	GLYMA04G42910	GLYMA04G42910.2
fig|3847.5.peg.10333	GLYMA04G42920	GLYMA04G42920.2
fig|3847.5.peg.10334	GLYMA04G42930	GLYMA04G42930.1
fig|3847.5.peg.10335	GLYMA04G42951	GLYMA04G42951.1
fig|3847.5.peg.10336	GLYMA04G42941	GLYMA04G42941.1
fig|3847.5.peg.10337	GLYMA04G42960	GLYMA04G42960.1
fig|3847.5.peg.10338	GLYMA04G42970	GLYMA04G42970.2
fig|3847.5.peg.10339	GLYMA04G42981	GLYMA04G42981.1
fig|3847.5.peg.1034	GLYMA01G26940	GLYMA01G26940.1
fig|3847.5.peg.10340	GLYMA04G42990	GLYMA04G42990.1
fig|3847.5.peg.10341	GLYMA04G42995	GLYMA04G42995.1
fig|3847.5.peg.10342	GLYMA04G43000	GLYMA04G43000.1
fig|3847.5.peg.10343	GLYMA04G43011	GLYMA04G43011.1
fig|3847.5.peg.10344	GLYMA04G43020	GLYMA04G43020.1
fig|3847.5.peg.10345	GLYMA04G43030	GLYMA04G43030.1
fig|3847.5.peg.10346	GLYMA04G43040	GLYMA04G43040.2
fig|3847.5.peg.10347	GLYMA04G43051	GLYMA04G43051.1
